Restaurant ID,Restaurant Name,City,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Rating text,Votes
16604911,Bridge Road Brewers,Beechworth,146.685852,-36.360439,"Pizza, Bar Food",20,Dollar($),No,No,No,2,4.6,Excellent,237
17303465,Bardenay,Boise,-116.2019,43.6138,"American, Bar Food",25,Dollar($),No,No,No,2,4.5,Excellent,879
17303642,Flatbread Neapolitan Pizzeria,Boise,-116.203466,43.616068,"Italian, Pizza",25,Dollar($),No,No,No,2,4.6,Excellent,615
17303670,Goldy's Breakfast Bistro,Boise,-116.2023,43.6149,"Breakfast, Sandwich",25,Dollar($),No,No,No,2,4.5,Excellent,879
17303545,Chandlers Steakhouse,Boise,-116.2064,43.6157,"American, Seafood, Steak",70,Dollar($),No,No,No,4,3.9,Good,379
17303655,Bar Gernika Basque Pub & Eatery,Boise,-116.2031,43.614,"European, Spanish",10,Dollar($),No,No,No,1,4.3,Very Good,303
17304691,Barbacoa Restaurant,Boise,-116.185034,43.597235,"Latin American, Steak",70,Dollar($),No,No,No,4,4.1,Very Good,538
17303478,Big Jud's,Boise,-116.2062,43.5945,"American, Burger, Sandwich",10,Dollar($),No,No,No,1,4.2,Very Good,334
17303480,Bittercreek Ale House,Boise,-116.2022,43.6167,"American, Bar Food",25,Dollar($),No,No,No,2,4.3,Very Good,555
17304733,Boise Fry Company,Boise,-116.193409,43.610279,"American, Burger",10,Dollar($),No,No,No,1,4.4,Very Good,823
17303646,Flying Pie Pizzaria,Boise,-116.2625,43.6192,Pizza,25,Dollar($),No,No,No,2,4.1,Very Good,550
17304929,Fork,Boise,-116.202845,43.616295,"American, Burger",25,Dollar($),No,No,No,2,4.4,Very Good,650
17303684,Guido's Original New York Style Pizza,Boise,-116.199,43.615,Pizza,10,Dollar($),No,No,No,1,4.3,Very Good,410
17303772,Los Beto's,Boise,-116.2463,43.6191,Mexican,10,Dollar($),No,No,No,1,4.4,Very Good,660
17305123,Lucianos Italian Restaurant,Boise,-116.245165,43.6051379,"Italian, Seafood, Vegetarian",25,Dollar($),No,No,No,2,4.4,Very Good,360
17303787,Mai Thai Restaurant,Boise,-116.2021,43.6162,"Sushi, Thai",40,Dollar($),No,No,No,3,4,Very Good,340
17303990,Shige Japanese Cuisine,Boise,-116.2031,43.6156,"Japanese, Sushi, Teriyaki",25,Dollar($),No,No,No,2,4.1,Very Good,393
17304741,The Egg Factory,Boise,-116.281809,43.619274,Breakfast,10,Dollar($),No,No,No,1,4.3,Very Good,422
17304726,Tucanos,Boise,-116.280614,43.591706,Brazilian,40,Dollar($),No,No,No,3,4,Very Good,435
17304486,Texas Roadhouse,Boise,-116.347304,43.619108,"American, BBQ, Steak",25,Dollar($),No,No,No,2,4,Very Good,369
17304533,Brick 29,Boise,-116.5629,43.5777,American,40,Dollar($),No,No,No,3,4.4,Very Good,487
17316233,Winifreds,Cedar Rapids/Iowa City,-91.6336,42.0179,"American, Mediterranean, Seafood",40,Dollar($),No,No,No,3,3.7,Good,98
17315883,Biaggi's Ristorante Italiano,Cedar Rapids/Iowa City,-91.6327,42.0281,"Italian, Pizza",40,Dollar($),No,No,No,3,4.1,Very Good,365
17315995,El Super Burrito,Cedar Rapids/Iowa City,-91.7148,41.9748,Mexican,10,Dollar($),No,No,No,1,4.1,Very Good,190
17316018,Granite City Food & Brewery,Cedar Rapids/Iowa City,-91.6224,42.0249,"American, Breakfast, Burger",40,Dollar($),No,No,No,3,4.1,Very Good,429
17316038,Irish Democrat,Cedar Rapids/Iowa City,-91.6347,42.01,"American, BBQ, Burger",25,Dollar($),No,No,No,2,4.4,Very Good,430
17316771,Taste of India,Cedar Rapids/Iowa City,-91.6499622,42.0215347,Indian,25,Dollar($),No,No,No,2,4.2,Very Good,186
17316201,Thai Moon Restaurant,Cedar Rapids/Iowa City,-91.7266,41.9639,"Chinese, Sushi, Thai",10,Dollar($),No,No,No,1,4.2,Very Good,220
17316208,Ting's Red Lantern,Cedar Rapids/Iowa City,-91.6394,42.0468,Chinese,10,Dollar($),No,No,No,1,4.2,Very Good,347
17316389,Monica's,Cedar Rapids/Iowa City,-91.569767,41.670466,"American, Italian, Pizza",25,Dollar($),No,No,No,2,3.8,Good,161
17316278,Exotic India,Cedar Rapids/Iowa City,-91.5687,41.6685,Indian,25,Dollar($),No,No,No,2,4.1,Very Good,160
17316744,Shorts Burger and Shine,Cedar Rapids/Iowa City,-91.534424,41.660982,Burger,10,Dollar($),No,No,No,1,4.9,Excellent,820
17316751,The Hamburg Inn No. 2 Inc.,Cedar Rapids/Iowa City,-91.531414,41.663849,"American, Breakfast, Burger",10,Dollar($),No,No,No,1,4.5,Excellent,488
17316766,Bluebird Diner,Cedar Rapids/Iowa City,-91.531093,41.663751,"Breakfast, Diner",25,Dollar($),No,No,No,2,3.6,Good,253
17316743,Graze,Cedar Rapids/Iowa City,-91.534302,41.658691,"American, International, Sushi",40,Dollar($),No,No,No,3,3.8,Good,220
17316374,A & A Pagliai's Pizza,Cedar Rapids/Iowa City,-91.5314,41.6648,Pizza,25,Dollar($),No,No,No,2,4.3,Very Good,485
17316381,Atlas World Grill,Cedar Rapids/Iowa City,-91.5341,41.661,International,40,Dollar($),No,No,No,3,4.3,Very Good,428
17316802,BlackStone,Cedar Rapids/Iowa City,-91.482165,41.667742,"American, Breakfast",25,Dollar($),No,No,No,2,4.1,Very Good,294
17316416,Devotay,Cedar Rapids/Iowa City,-91.5318,41.6625,"Mediterranean, Tapas, Vegetarian",40,Dollar($),No,No,No,3,4,Very Good,380
17316449,Jimmy Jack's Rib Shack,Cedar Rapids/Iowa City,-91.5074,41.6428,BBQ,25,Dollar($),No,No,No,2,4.2,Very Good,259
17316603,Zoeys Pizzeria,Cedar Rapids/Iowa City,-91.5995,42.0331,"Pizza, Sandwich",25,Dollar($),No,No,No,2,4.7,Excellent,433
16659169,Tokyo Sushi,Chatham-Kent,-82.188438,42.397683,"Japanese, Sushi",25,Dollar($),No,No,No,2,3.7,Good,176
17558684,Berry Patch Restaurant,Clatskanie,-123.368151,46.126967,"American, Breakfast, Desserts",10,Dollar($),No,No,No,1,4.3,Very Good,96
18366580,Sakura Sushi & Grill,Cochrane,-114.472474,51.183934,"Asian, Japanese",25,Dollar($),No,No,No,2,3.1,Average,6
17330755,Uptown Vietnam cuisine,Columbus,-84.992671,32.470315,"Asian, Vietnamese",10,Dollar($),No,No,No,1,3.3,Average,33
17330611,Cafe Le Rue @ The Landings,Columbus,-84.95591,32.519247,"American, Seafood, Cajun",25,Dollar($),No,No,No,2,4.6,Excellent,489
17330609,Mark's City Grille,Columbus,-84.927047,32.555591,American,25,Dollar($),No,No,No,2,4.5,Excellent,345
17330024,B Merrell's,Columbus,-84.9436,32.5577,"Burger, Bar Food, Southern",25,Dollar($),No,No,No,2,3.8,Good,149
17330074,Cannon Brewpub,Columbus,-84.9936,32.4656,"Pizza, Bar Food",25,Dollar($),No,No,No,2,3.9,Good,330
17330185,Fuji Japanese Steak House,Columbus,-84.954984,32.5382197,"Japanese, Steak",40,Dollar($),No,No,No,3,3.9,Good,247
